DATETIMEDATA,prediction_label,iso_alpha
2024-03-04 23:00:00,28.66654632899996,THA
2024-03-05 23:00:00,28.6222575429211,THA
2024-03-06 23:00:00,28.758792202011527,THA
2024-03-07 23:00:00,28.831448355844984,THA
2024-03-08 23:00:00,28.883211019492588,THA
2024-03-09 23:00:00,28.635617706725046,THA
2024-03-10 23:00:00,28.23895186564666,THA
2024-03-11 23:00:00,27.94447348446999,THA
2024-03-12 23:00:00,27.891132624323,THA
2024-03-13 23:00:00,27.938866224756133,THA
2024-03-14 23:00:00,28.218040049004625,THA
2024-03-15 23:00:00,28.376524854634507,THA
2024-03-16 23:00:00,28.527380299069627,THA
2024-03-17 23:00:00,28.261537334320536,THA
2024-03-18 23:00:00,28.67041453014738,THA
2024-03-19 23:00:00,28.756108514305247,THA
2024-03-20 23:00:00,28.80032427165628,THA
2024-03-21 23:00:00,28.80032427165628,THA
2024-03-22 23:00:00,28.75919218741241,THA
2024-03-23 23:00:00,28.643342720970505,THA
2024-03-24 23:00:00,28.875374884489737,THA
2024-03-25 23:00:00,28.863334462711304,THA
2024-03-26 23:00:00,28.898122295589232,THA
2024-03-27 23:00:00,28.86178147128392,THA
2024-03-28 23:00:00,28.62954935232469,THA
2024-03-29 23:00:00,28.478962028883604,THA
2024-03-30 23:00:00,28.478962028883604,THA
2024-03-31 23:00:00,28.478962028883604,THA
2024-04-01 23:00:00,28.679179973639005,THA
2024-04-02 23:00:00,28.693627948797847,THA
2024-04-03 23:00:00,28.66865529041429,THA
2024-04-04 23:00:00,28.66654632899996,THA
2024-04-05 23:00:00,28.6222575429211,THA
